All Ordinaries Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GUD,G.U.D. Holdings,Consumer Discretionary,"905,160,000",0.05,,,
GWA,GWA Group Limited,Industrials,"823,517,000",0.04,,,
GXY,Galaxy Resources,Materials,"346,010,000",0.02,,,
HAS,Hastings Tech Met,Materials,"86,890,600",0,,,
HE8,Helios Energy Limited,Energy,"144,757,000",0.01,,,
HFR,Highfield Res Limited,Materials,"140,048,000",0.01,,,
HLO,Helloworld Travl Limited,Consumer Discretionary,"283,116,000",0.02,,,
HLS,Healius,Health Care,"1,837,090,000",0.1,,,
HPI,Hotel Property FP Ordinary/Units Stapled Securities,Real Estate,"482,052,000",0.03,,,
HRR,Heron Resources,Materials,"25,291,200",0,,,
HSN,Hansen Technologies,Information Technology,"645,395,000",0.03,,,
HT1,HT&E Limited,Communication Services,"392,321,000",0.02,,,
HTA,Hutchison,,"2,307,330,000",0.12,,,
HUB,HUB24 Limited,Financials,"477,002,000",0.03,,,
HUO,Huon Aquaculture Group,Consumer Staples,"353,716,000",0.02,,,
HVN,Harvey Norman,Consumer Discretionary,"4,286,260,000",0.23,,,
HZN,Horizon Oil Limited,Energy,"78,118,900",0,,,
IAG,Insurance Australia,Financials,"15,460,900,000",0.83,,,
IAP,Investec Aust Prop Ordinary Units FP,Real Estate,"840,535,000",0.05,,,
IDX,Integral Diagnostics,Health Care,"715,924,000",0.04,,,
IEL,Idp Education Limited,Consumer Discretionary,"4,381,540,000",0.24,,,
IFL,IOOF Holdings Limited,Financials,"1,758,890,000",0.09,,,
IFM,Infomedia Limited,Information Technology,"639,874,000",0.03,,,
IFN,Infigen Energy FP Ordinary/Units Stapled Securities,Utilities,"533,993,000",0.03,,,
IGL,Ivegroup,Communication Services,"249,729,000",0.01,,,
IGO,IGO Limited,Materials,"2,770,840,000",0.15,,,
ILU,Iluka Resources,Materials,"3,389,130,000",0.18,,,
IMD,IMDEX Limited,Materials,"504,474,000",0.03,,,
IMF,IMF Bentham Limited,Financials,"1,037,550,000",0.06,,,
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,"1,248,590,000",0.07,,,
ING,Inghams Group,Consumer Staples,"1,338,050,000",0.07,,,
INR,Ioneer Limited,Materials,"235,184,000",0.01,,,
IPH,IPH Limited,Industrials,"1,652,220,000",0.09,,,
IPL,Incitec Pivot,Materials,"3,694,780,000",0.2,,,
IRE,Iress Limited,Information Technology,"1,990,630,000",0.11,,,
IRI,Integrated Research,Information Technology,"481,210,000",0.03,,,
ISU,Iselect Limited,Consumer Discretionary,"65,358,400",0,,,
ISX,Isignthis Limited,Information Technology,"1,172,130,000",0.06,,,
ITG,Intega Group Limited,Industrials,"173,654,000",0.01,,,
IVC,Invocare Limited,Consumer Discretionary,"1,672,230,000",0.09,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"3,869,270,000",0.21,,,
JHC,Japara Healthcare LT,Health Care,"181,728,000",0.01,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"1,215,020,000",0.07,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"11,628,800,000",0.63,,,
JIN,Jumbo Interactive,Consumer Discretionary,"581,789,000",0.03,,,
JLG,Johns LYNG Group,Industrials,"526,725,000",0.03,,,
JMS,Jupiter Mines,Materials,"470,158,000",0.03,,,
KAR,Karoon Energy Limited,Energy,"240,548,000",0.01,,,
KGN,Kogan.com Limited,Consumer Discretionary,"386,987,000",0.02,,,
KMD,Kathmandu Hold Limited Foreign Exempt NZX,Consumer Discretionary,"708,176,000",0.04,,,
KSC,K & S Corporation,Industrials,"184,555,000",0.01,,,
KSL,Kina Securities Limited,Financials,"191,346,000",0.01,,,
LEP,Ale Property Group FP Ordinary/Units Stapled Securities,Real Estate,"1,018,000,000",0.05,,,
LIC,Lifestyle Communit,Real Estate,"864,588,000",0.05,,,
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,"8,907,460,000",0.48,,,
LNG,Liquefied Natural,Energy,"63,433,400",0,,,
LNK,Link Admin HLDG,Information Technology,"2,208,250,000",0.12,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"925,504,000",0.05,,,
LVH,Livehire Limited,Information Technology,"58,904,000",0,,,
LVT,Livetiles Limited,Information Technology,"180,069,000",0.01,,,
LYC,Lynas Corporation,Materials,"1,021,660,000",0.06,,,
LYL,Lycopodium Limited,Industrials,"202,238,000",0.01,,,
MAH,Macmahon Holdings,Materials,"527,972,000",0.03,,,
MAQ,Macquarie Telecom GP,,"516,427,000",0.03,,,
MCP,Mcpherson's Limited,Consumer Staples,"191,250,000",0.01,,,
MEZ,Meridian Energy Foreign Exempt NZX,Utilities,"5,222,520,000",0.28,,,
MFG,Magellan Fin Group Limited,Financials,"8,866,110,000",0.48,,,
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,"11,998,500,000",0.65,,,
MGX,Mount Gibson Iron,Materials,"816,166,000",0.04,,,
MHJ,Michael Hill Int,Consumer Discretionary,"197,765,000",0.01,,,
MIN,Mineral Resources,Materials,"2,820,070,000",0.15,,,
MLD,Maca Limited,Materials,"234,507,000",0.01,,,
MLX,Metals X Limited,Materials,"61,694,100",0,,,
MMI,Metro Mining Limited,Materials,"145,834,000",0.01,,,
MMS,Mcmillan Shakespeare,Industrials,"737,442,000",0.04,,,
MND,Monadelphous Group,Industrials,"1,212,980,000",0.07,,,
MNF,MNF Group Limited,,"284,754,000",0.02,,,
MNS,Magnis Energy Tech,Materials,"43,576,600",0,,,
MNY,MONEY3 Corporation,Financials,"388,671,000",0.02,,,
MOC,Mortgage Choice Limited,Financials,"105,623,000",0.01,,,
MOE,Moelis Australia Limited,Financials,"540,366,000",0.03,,,
MOZ,Mosaic Brands Limited,Consumer Discretionary,"92,940,400",0.01,,,
MP1,Megaport Limited,Information Technology,"1,278,220,000",0.07,,,
MPL,Medibank Private Limited,Financials,"7,986,610,000",0.43,,,
MQG,Macquarie Group Limited,Financials,"44,847,000,000",2.42,,,
MRM,Mmaoffshor,Energy,"87,018,800",0,,,
MSB,Mesoblast Limited,Health Care,"1,176,300,000",0.06,,,
MTO,Motorcycle HLDG,Consumer Discretionary,"82,378,500",0,,,
MTS,Metcash Limited,Consumer Staples,"2,345,880,000",0.13,,,
MVF,Monash Ivf Group Limited,Health Care,"183,913,000",0.01,,,
MVP,Medical Developments,Health Care,"431,040,000",0.02,,,
MWY,Midway Limited,Materials,"112,227,000",0.01,,,
MYR,Myer Holdings Limited,Consumer Discretionary,"221,745,000",0.01,,,
MYS,Mystate Limited,Financials,"466,528,000",0.03,,,
MYX,Mayne Pharma Limited,Health Care,"495,325,000",0.03,,,
NAB,National Aust. Bank,Financials,"62,224,100,000",3.35,,,
NAN,Nanosonics Limited,Health Care,"1,727,740,000",0.09,,,
NCK,Nick Scali Limited,Consumer Discretionary,"470,610,000",0.03,,,
NCM,Newcrest Mining,Materials,"22,404,100,000",1.21,,,
NCZ,New Century Resource,Materials,"63,785,500",0,,,
NEA,Nearmap Limited,Information Technology,"642,490,000",0.03,,,
NEC,Nine Entertainment,Communication Services,"2,404,600,000",0.13,,,
NEU,Neuren Pharmaceut,Health Care,"177,298,000",0.01,,,
NEW,NEW Energy Solar FP Ordinary/Units Stapled Securities,Utilities,"418,710,000",0.02,,,
NGI,Navigator Global Limited,Financials,"392,398,000",0.02,,,
NHC,New Hope Corporation,Energy,"1,056,270,000",0.06,,,
NHF,Nib Holdings Limited,Financials,"1,801,540,000",0.1,,,
NIC,Nickelmineslimited,Materials,"609,455,000",0.03,,,
NMT,Neometals Limited,Materials,"92,567,900",0,,,
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,"1,710,440,000",0.09,,,
NST,Northern Star,Materials,"10,131,300,000",0.55,,,
NUF,Nufarm Limited,Materials,"1,746,600,000",0.09,,,
NVL,National Veterinary,Health Care,"244,794,000",0.01,,,
NWH,NRW Holdings Limited,Industrials,"840,570,000",0.05,,,
NWL,Netwealth Group,Financials,"1,457,070,000",0.08,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Communication Services,"852,494,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,897,510,000",0.16,,,
OCL,Objective Corp,Information Technology,"476,163,000",0.03,,,
OFX,OFX Group Limited,Financials,"275,757,000",0.01,,,
OGC,Oceanagold Corp Chess Depositary Interest 1:1,Materials,"168,041,000",0.01,,,
OMH,Om Holdings Limited 10c,Materials,"265,904,000",0.01,,,
OML,Ooh!Media Limited,Communication Services,"445,990,000",0.02,,,
ONT,1300 Smiles Limited,Health Care,"128,810,000",0.01,,,
OPT,Opthea Limited,Health Care,"721,343,000",0.04,,,
ORA,Orora Limited,Materials,"3,318,380,000",0.18,,,
ORE,Orocobre Limited,Materials,"649,704,000",0.04,,,
ORG,Origin Energy,Energy,"10,461,600,000",0.56,,,
ORI,Orica Limited,Materials,"7,407,300,000",0.4,,,
OSH,Oil Search Limited 10 Toea,Energy,"5,123,150,000",0.28,,,
OTW,Over the Wire Limited,Information Technology,"144,592,000",0.01,,,
OVH,Onevue Holdings Limited,Financials,"58,943,200",0,,,
OZL,OZ Minerals,Materials,"2,706,970,000",0.15,,,
PAC,Pacific Group Limited,Financials,"231,642,000",0.01,,,
PAN,Panoramic Resources,Materials,"152,626,000",0.01,,,
PAR,Paradigm Bio,Health Care,"494,535,000",0.03,,,
PCG,Pengana Capital,Financials,"133,543,000",0.01,,,
PDL,Pendal Group Limited,Financials,"1,733,450,000",0.09,,,
PDN,Paladin Energy Limited,Energy,"158,176,000",0.01,,,
PET,Phoslock ENV Tec Limited,Industrials,"302,271,000",0.02,,,
PFP,Propel Funeral,Consumer Discretionary,"312,004,000",0.02,,,
PGC,Paragon Care Limited,Health Care,"59,129,900",0,,,
PGH,Pact Group Holdings Limited,Materials,"653,588,000",0.04,,,
PLS,Pilbara Min Limited,Materials,"511,452,000",0.03,,,
PME,Pro Medicus Limited,Health Care,"1,872,080,000",0.1,,,
PMV,Premier Investments,Consumer Discretionary,"2,380,290,000",0.13,,,
PNI,Pinnacle Investment,Financials,"729,165,000",0.04,,,
PNR,Pantoro Limited,Materials,"111,715,000",0.01,,,
PNV,Polynovo Limited,Health Care,"1,361,840,000",0.07,,,
PPC,Peet Limited,Real Estate,"497,799,000",0.03,,,
PPE,Peopleinfrastructure,Industrials,"223,942,000",0.01,,,
PPG,Pro-Pac Packaging,Materials,"68,133,000",0,,,
PPH,Pushpay Holdings Limited Foreign Exempt NZX,Information Technology,"926,171,000",0.05,,,
PPS,Praemium Limited,Information Technology,"128,667,000",0.01,,,
PPT,Perpetual Limited,Financials,"1,431,110,000",0.08,,,
PRN,Perenti Global Limited,Materials,"776,736,000",0.04,,,
PRU,Perseus Mining Limited,Materials,"1,162,220,000",0.06,,,
PSI,PSC Insurance Limited,Financials,"779,403,000",0.04,,,
PSQ,Pacific Smiles Group,Health Care,"255,349,000",0.01,,,
PTM,Platinum Asset,Financials,"1,977,110,000",0.11,,,
PVS,Pivotal Systems Chess Depositary Interests 1:1,Information Technology,"109,647,000",0.01,,,
PWH,PWR Holdings Limited,Consumer Discretionary,"407,357,000",0.02,,,
QAN,Qantas Airways,Industrials,"6,634,030,000",0.36,,,
QBE,QBE Insurance Group,Financials,"14,677,500,000",0.79,,,
QIP,QANTM Intellectual,Industrials,"164,983,000",0.01,,,
QUB,QUBE Holdings Limited,Industrials,"4,275,950,000",0.23,,,
RBL,Redbubble Limited,Consumer Discretionary,"194,972,000",0.01,,,
RCT,Reef Casino Trust Units FP,Consumer Discretionary,"97,386,200",0.01,,,
RDC,Redcape Hotel Group FP Units Stapled Securities,Consumer Discretionary,"563,239,000",0.03,,,
REA,REA Group,Communication Services,"12,835,600,000",0.69,,,
REG,Regis Healthcare Limited,Health Care,"390,973,000",0.02,,,
REH,Reece Limited,Industrials,"6,040,060,000",0.33,,,
REX,Regional Express,Industrials,"104,647,000",0.01,,,
RFF,Rural Funds Group FP Units Stapled Securities,Real Estate,"638,276,000",0.03,,,
RHC,Ramsay Health Care,Health Care,"13,001,900,000",0.7,,,
RHP,Rhipe Limited,Information Technology,"219,981,000",0.01,,,
RIC,Ridley Corporation,Consumer Staples,"264,568,000",0.01,,,
RIO,RIO Tinto Limited,Materials,"31,037,400,000",1.67,,,
RMC,Resimac Group Limited,Financials,"437,072,000",0.02,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"9,446,650,000",0.51,,,
RMS,Ramelius Resources,Materials,"810,093,000",0.04,,,
RRL,Regis Resources,Materials,"2,058,130,000",0.11,,,
RSG,Resolute Mining,Materials,"903,820,000",0.05,,,
RUL,Rpmglobal Holdings Limited,Information Technology,"199,174,000",0.01,,,
RWC,Reliance Worldwide,Industrials,"2,314,980,000",0.12,,,
S32,SOUTH32 Limited,Materials,"9,856,160,000",0.53,,,
SAR,Saracen Mineral,Materials,"4,488,770,000",0.24,,,
